iter	RMSE
0	0.2687164178
1	0.2578681172
2	0.2477948182
3	0.2381133592
4	0.2285700832
5	0.2195845106
6	0.2107270063
7	0.2023897804
8	0.1948612115
9	0.1872878252
10	0.1807935905
11	0.1742467752
12	0.167687797
13	0.1616340837
14	0.1557868089
15	0.1499538224
16	0.1442127593
17	0.1387008851
18	0.1337002069
19	0.1288150791
20	0.1240303446
21	0.1197874019
22	0.1158708239
23	0.1119812359
24	0.1082486302
25	0.104552533
26	0.1011683954
27	0.09809864888
28	0.09512471504
29	0.09215494043
30	0.08940701197
31	0.08652102948
32	0.08394871831
33	0.08150445896
34	0.07923586628
35	0.07705291949
36	0.07485163377
37	0.07304452983
38	0.07115810298
39	0.06943455148
40	0.0677201131
41	0.06610278362
42	0.06449215573
43	0.06299575518
44	0.0616842487
45	0.06032910521
46	0.05919310422
47	0.05813074691
48	0.05709696883
49	0.05613763273
50	0.05521732441
51	0.05434609436
52	0.05355623431
53	0.0526870405
54	0.05185332463
55	0.05109633407
56	0.0504033851
57	0.0495865006
58	0.04887689502
59	0.04838022994
60	0.04792145803
61	0.04736446499
62	0.04671563651
63	0.0462101513
64	0.04575989016
65	0.04532646737
66	0.04489493783
67	0.04449213263
68	0.04394560813
69	0.04344593004
70	0.0430917711
71	0.04277376022
72	0.04250059448
73	0.04195673664
74	0.04148996059
75	0.04104415804
76	0.04061529813
77	0.04033541967
78	0.04005198281
79	0.03979869693
80	0.03932174843
81	0.03910349102
82	0.0387909765
83	0.03847215283
84	0.03830171092
85	0.03793146841
86	0.03778462827
87	0.03764208103
88	0.03734921947
89	0.03713033058
90	0.0368419688
91	0.03656815941
92	0.03623600021
93	0.03594569643
94	0.03565213042
95	0.03527855158
96	0.03497633203
97	0.03464697518
98	0.03428388368
99	0.03416283011
100	0.03401011751
101	0.03378713
102	0.03365209952
103	0.03338530155
104	0.03315894433
105	0.03293454158
106	0.03259421935
107	0.03250095247
108	0.03225748189
109	0.03209660415
110	0.03200275662
111	0.03166957293
112	0.03155294302
113	0.03130252762
114	0.03120746334
115	0.03103325012
116	0.03086027612
117	0.03057592121
118	0.0304877039
119	0.03039518858
120	0.03031007047
121	0.03022984731
122	0.030146039
123	0.02998568615
124	0.02983061967
125	0.02975113422
126	0.02951782553
127	0.02943880361
128	0.02920990881
129	0.02913532912
130	0.0289707864
131	0.02867338667
132	0.02859763905
133	0.02849548491
134	0.02841450061
135	0.02825674754
136	0.02818489943
137	0.02811172678
138	0.02781679855
139	0.02774707791
140	0.0276717682
141	0.02759885143
142	0.0273784077
143	0.02724315586
144	0.0269644671
145	0.02689458637
146	0.0267495586
147	0.02661152423
148	0.02645668846
149	0.02624736842
150	0.02617620903
151	0.02611238821
152	0.02604776106
153	0.02598416125
154	0.02584713808
155	0.02571793582
156	0.02565653628
157	0.02551579646
158	0.02545480868
159	0.02533302143
160	0.02527145505
161	0.02521035498
162	0.02514955209
163	0.02509155002
164	0.02496030802
165	0.02481889167
166	0.02476331154
167	0.0247096029
168	0.02463657764
169	0.0244999236
170	0.02444107147
171	0.02433334406
172	0.02422568606
173	0.02410692139
174	0.02405311015
175	0.02399674755
176	0.02394231577
177	0.0237848705
178	0.02368492844
179	0.02358201961
180	0.02352981608
181	0.02342949994
182	0.02319580939
183	0.02315001719
184	0.02310051669
185	0.02305286208
186	0.02300829701
187	0.02295961913
188	0.02285091327
189	0.02280828807
190	0.0226963671
191	0.02263675805
192	0.02255687401
193	0.0225173775
194	0.02247697418
195	0.02237502685
196	0.02233192349
197	0.02219143811
198	0.02205301635
199	0.02191678664
200	0.02181411779
201	0.02177355556
202	0.02173421641
203	0.02169846767
204	0.02156289233
205	0.02152482239
206	0.0214873213
207	0.02145178448
208	0.02141523306
209	0.02137821405
210	0.02133241935
211	0.0211936611
212	0.021117611
213	0.02108229333
214	0.0209449227
215	0.02087640433
216	0.02083997366
217	0.02070726947
218	0.02057292221
219	0.02044414808
220	0.02031445826
221	0.02015633668
222	0.02010616498
223	0.01998354606
224	0.01991262137
225	0.01986380259
226	0.01974039964
227	0.01969057937
228	0.01964271804
229	0.01952264539
230	0.01947600068
231	0.01935334123
232	0.01931841967
233	0.01917126885
234	0.01912437736
235	0.01907896326
236	0.01903323919
237	0.01898953648
238	0.01894550853
239	0.01890365553
240	0.01886156584
241	0.01882032969
242	0.01878362109
243	0.01874793765
244	0.01862764326
245	0.01859339718
246	0.01847360897
247	0.01843251385
248	0.01835868108
249	0.01828759182
250	0.0181713309
251	0.01805434215
252	0.01798846713
253	0.01787458442
254	0.01783618881
255	0.01772437787
256	0.01768993478
257	0.01757742932
258	0.01746617069
259	0.01743444561
260	0.01736650117
261	0.01725846064
262	0.01715126966
263	0.0170479109
264	0.01696954581
265	0.01693120261
266	0.01689908774
267	0.01686954845
268	0.01684033277
269	0.01680263654
270	0.01674090328
271	0.01661144691
272	0.01655094591
273	0.01644748486
274	0.01634575829
275	0.01624555131
276	0.01614798815
277	0.01605030355
278	0.01602231717
279	0.0159259678
280	0.01589903656
281	0.01580552588
282	0.0157681157
283	0.01565079646
284	0.01557894828
285	0.01555756956
